region1,region2,exp_cap,log_exp_cap,perc_urban,perc_formal,perc_smp,perc_sma
Indonesia Barat,Sumatera,839002.94,13.63997,.19421329,.4052107,.43144417,.28102279
Indonesia Barat,Sumatera,840412.44,13.641648,.10855041,.2199056,.40527877,.23490229
Indonesia Barat,Sumatera,846528.69,13.648899,.27229294,.46698076,.37452349,.22982593
Indonesia Barat,Sumatera,847499.06,13.650045,.091645904,.26341155,.33378413,.15244603
Indonesia Barat,Sumatera,849313.88,13.652184,.047607102,.43622795,.36476648,.19329642
Indonesia Barat,Sumatera,855377.56,13.659298,.13465787,.31206918,.32209447,.18381695
Indonesia Barat,Sumatera,857000,13.661193,.032944012,.28581354,.38180521,.21369167
Indonesia Barat,Sumatera,858338.75,13.662754,.1966977,.48539197,.43145248,.20526965
Indonesia Barat,Sumatera,859692.38,13.66433,.1278726,.23218144,.36592257,.18141156
Indonesia Barat,Sumatera,860722.75,13.665527,.39442116,.53488231,.42833802,.24680422
Indonesia Barat,Sumatera,864666.38,13.670099,.073192112,.34871349,.37264499,.24203366
Indonesia Barat,Sumatera,865056.75,13.67055,.23063962,.34225395,.34889576,.21151273
Indonesia Barat,Sumatera,869475.06,13.675645,0,.06962055,.24834569,.12158632
Indonesia Barat,Sumatera,882694.38,13.690734,.23253238,.40229672,.41943038,.268255
Indonesia Barat,Sumatera,884221.63,13.692463,.047662038,.36014587,.28900003,.14163888
Indonesia Barat,Sumatera,884982.88,13.693323,.15686204,.33476573,.41516054,.19197597
Indonesia Barat,Sumatera,887291.56,13.695929,.65016705,.31864059,.46903858,.3045581
Indonesia Barat,Sumatera,887856.38,13.696566,.17422634,.36422002,.34931409,.17592309
Indonesia Barat,Sumatera,888182.31,13.696932,.10214289,.30873653,.38145331,.19893561
Indonesia Barat,Sumatera,890509.44,13.699549,.25911349,.40145046,.33603287,.19516812
Indonesia Barat,Sumatera,895197.13,13.7048,.37848243,.34271812,.36759958,.17907569
Indonesia Barat,Sumatera,896915.19,13.706717,.076482557,.27713341,.29299954,.079289481
Indonesia Barat,Sumatera,903352.94,13.713868,.41338208,.22570544,.4294337,.24454021
Indonesia Barat,Sumatera,904663.25,13.715318,.21662448,.38212833,.36380139,.20765692
Indonesia Barat,Sumatera,905081.38,13.71578,.38273939,.43648696,.3972986,.23344199
Indonesia Barat,Sumatera,906430.75,13.71727,.2357887,.5217334,.37264368,.24127813
Indonesia Barat,Sumatera,906983.63,13.717879,.12521845,.32528272,.37685701,.20615359
Indonesia Barat,Sumatera,907338.25,13.71827,.27694505,.48966321,.48255521,.29297152
Indonesia Barat,Sumatera,910096.44,13.721306,.40757746,.49953261,.43709931,.2675705
Indonesia Barat,Sumatera,919509.56,13.731596,.23859248,.2268281,.30885923,.1711148
Indonesia Barat,Sumatera,920382.88,13.732545,.048628572,.25349617,.40459558,.25938627
Indonesia Barat,Sumatera,921321.63,13.733564,.1702085,.2648187,.38118953,.20059219
Indonesia Barat,Sumatera,924527.19,13.737038,.50989932,.50060779,.53976065,.40074599
Indonesia Barat,Sumatera,925187.5,13.737752,.1278515,.18175907,.36378425,.22025953
Indonesia Barat,Sumatera,931253.69,13.744287,.34831151,.46561953,.4065088,.27085587
Indonesia Barat,Sumatera,933076.81,13.746243,.14440416,.37257612,.44731048,.28286758
Indonesia Barat,Sumatera,934630.19,13.747907,.13965875,.44301456,.39301232,.19542848
Indonesia Barat,Sumatera,936910.63,13.750343,.31665924,.3897239,.38168728,.19901805
Indonesia Barat,Sumatera,939455.94,13.753057,.12790889,.28805295,.39685047,.23895691
Indonesia Barat,Sumatera,940429.94,13.754092,.10724401,.20953929,.38535851,.20230395
Indonesia Barat,Sumatera,943512.31,13.757364,1,.65529072,.44179389,.28783736
Indonesia Barat,Sumatera,945635,13.759612,.21061531,.31716454,.37742013,.23093973
Indonesia Barat,Sumatera,946011.56,13.76001,0,.28612751,.44636637,.27128172
Indonesia Barat,Sumatera,951349.31,13.765636,.24854533,.33022696,.37398383,.20838955
Indonesia Barat,Sumatera,952295.06,13.76663,.32283804,.30695999,.44033268,.28238022
Indonesia Barat,Sumatera,956046.5,13.770562,.074089542,.56160021,.44053391,.25583202
Indonesia Barat,Sumatera,957214.56,13.771783,.15903756,.1246766,.41295704,.27937764
Indonesia Barat,Sumatera,957483.81,13.772064,.10748973,.22410131,.44629312,.28758249
Indonesia Barat,Sumatera,958658,13.77329,.19944477,.46460566,.3899098,.21148342
Indonesia Barat,Sumatera,965127.63,13.780016,.24021374,.37883711,.42753613,.26489434
Indonesia Barat,Sumatera,965773.25,13.780684,.11879029,.26151794,.41509566,.22451596
Indonesia Barat,Sumatera,971705.19,13.786808,.26741916,.25941405,.41543308,.26967737
Indonesia Barat,Sumatera,972632.63,13.787762,.19310378,.49555269,.40436149,.24030831
Indonesia Barat,Sumatera,974755.13,13.789942,.49916703,.31688982,.45299318,.30612606
Indonesia Barat,Sumatera,976051.13,13.79127,.42992172,.48683414,.43419236,.26314297
Indonesia Barat,Sumatera,981687.88,13.797029,.22603883,.30579188,.36862665,.19936222
Indonesia Barat,Sumatera,982311.69,13.797664,.45746189,.53592038,.43082842,.25511327
Indonesia Barat,Sumatera,988482.81,13.803926,.23504007,.54052055,.40331811,.23121504
Indonesia Barat,Sumatera,996048.5,13.811551,.15376161,.35706705,.3742978,.20485702
Indonesia Barat,Sumatera,996563,13.812068,.38124648,.38069531,.50050002,.32851392
Indonesia Barat,Sumatera,996655.19,13.81216,.19585541,.23976785,.36218438,.19806029
Indonesia Barat,Sumatera,998981.75,13.814492,.16579528,.34330961,.3314932,.1672352
Indonesia Barat,Sumatera,1001717.9,13.817227,.24349625,.14731029,.46814048,.27333823
Indonesia Barat,Sumatera,1002596.6,13.818104,.24515392,.33611301,.36268535,.21267135
Indonesia Barat,Sumatera,1003301.4,13.818807,.19700252,.29594576,.41995671,.25101694
Indonesia Barat,Sumatera,1005787.1,13.82128,.12553218,.41058719,.47427535,.27547237
Indonesia Barat,Sumatera,1006161.4,13.821653,.42836636,.3880395,.44279906,.27735737
Indonesia Barat,Sumatera,1007103.9,13.822589,.78874934,.57071012,.47731376,.35669473
Indonesia Barat,Sumatera,1008001.3,13.82348,.083835632,.40255082,.35527706,.19424438
Indonesia Barat,Sumatera,1018295.4,13.833641,.25948635,.54980057,.40749854,.22934569
Indonesia Barat,Sumatera,1024949.3,13.840154,.46372125,.52074736,.43412647,.23457938
Indonesia Barat,Sumatera,1026346,13.841516,.11750181,.38076815,.38390431,.22979641
Indonesia Barat,Sumatera,1037896.3,13.852707,.32258675,.25015458,.4078086,.26496634
Indonesia Barat,Sumatera,1045408.3,13.859918,.11623052,.40650257,.43104029,.26195878
Indonesia Barat,Sumatera,1047864.1,13.862265,.24599922,.4890267,.45557639,.25432658
Indonesia Barat,Sumatera,1050993.5,13.865247,.34743646,.55067396,.35947868,.21687697
Indonesia Barat,Sumatera,1059739.9,13.873534,.5288679,.48579532,.4731468,.32341874
Indonesia Barat,Sumatera,1067331.3,13.880672,1,.66981113,.48997003,.34736589
